,Number (thousands),Total,"Under $15,000","$15,000 to $24,999","$25,000 to 34,999","$35,000 to 49,999","$50,000 to 74,999","$75,000 to $99,999","$100,000 to 149,999","$150,000 to $199,999","$200,000 and over",Median Estimate,Median margin of error^2 (+/-),Mean Estimate,Mean margin of error^2 (+/-),Year,Race
0,134800,100,7.1,6.4,6.8,9.9,15.1,12,16.7,10.1,16,83730,1050,121000,1211,2024,ALL RACES
1,132200,100,7.3,6.6,6.8,9.9,15.6,12,17,9.7,15,82690,651,117500,1126,2023,ALL RACES
2,131400,100,7.8,6.9,7.4,10,15.9,12,17.1,9.4,13.6,79500,1031,113400,1102,2022,ALL RACES
3,131200,100,7.8,7.2,7.1,9.9,15.2,11.8,16.5,9.5,15.1,81270,695,117500,1182,2021,ALL RACES
4,129200,100,7.4,7.2,6.8,10.2,15.1,12.1,16.7,9.5,14.9,81580,1056,116900,1259,2020,ALL RACES
5,128500,100,7.1,6.7,6.6,10.2,15.3,12.1,17,9.7,15.2,83260,1096,118900,1263,2019,ALL RACES
6,128600,100,8,7.3,7,10.8,15.5,12.6,16.6,9.1,13,77700,850,110700,1104,2018,ALL RACES
7,127700,100,7.8,7.4,7.8,10.7,15.2,12.3,16.5,9.1,13.1,76710,664,110000,1177,2017,ALL RACES
8,127600,100,7.9,7.5,7.8,10.6,15,12.2,16.7,9.5,12.8,77000,691,108200,1073,2017,ALL RACES
9,126200,100,8.1,7.5,7.9,10.8,15.6,12.4,16.6,9,12.2,75380,916,106200,985,2016,ALL RACES
10,125800,100,8.3,8.1,8.4,11.1,15.4,12.1,16.6,9,11.1,72790,680,102100,854,2015,ALL RACES
11,124600,100,9.1,8.5,8.7,11.3,15.9,12.2,15.7,8.5,10.3,69060,830,97480,944,2014,ALL RACES
12,123900,100,9,8.7,8.5,11.1,15.6,12.5,15.9,8.3,10.4,69950,1404,98160,1426,2013,ALL RACES
13,123000,100,8.9,9,8.4,11.7,16.2,12.7,15.8,8.1,9.2,67800,593,94820,1072,2013,ALL RACES
14,122500,100,8.9,8.9,9,11.7,16.2,12.7,15.7,8,9,67400,454,94170,915,2012,ALL RACES
15,121100,100,9,8.7,8.7,12.3,16.3,12.2,15.8,7.7,9.2,67410,556,93840,815,2011,ALL RACES
16,119900,100,9,8.9,8.7,11.6,16.1,12.5,16,8.2,9.1,68420,742,93580,822,2010,ALL RACES
17,117500,100,8.1,8.2,8.6,12.2,16.5,12.7,16.3,8.2,9.3,70070,493,95680,563,2009,ALL RACES
18,117200,100,8,8.3,8.4,12.1,16.3,12.5,16.8,8.3,9.3,70520,316,95930,558,2008,ALL RACES
19,116800,100,7.8,8.5,7.9,11.1,16.6,12.5,17.2,8.8,9.8,73010,335,98260,564,2007,ALL RACES
