,Median Income,Year,Race,Voting Percentage
0,92530,2024,White Non-Hispanic,70.5
1,86410,2022,White Non-Hispanic,57.6
2,90430,2020,White Non-Hispanic,70.9
3,86880,2018,White Non-Hispanic,57.5
4,83040,2016,White Non-Hispanic,65.3
5,77550,2014,White Non-Hispanic,45.8
6,75320,2012,White Non-Hispanic,64.1
7,75620,2010,White Non-Hispanic,48.6
8,77850,2008,White Non-Hispanic,66.1
9,78140,2006,White Non-Hispanic,51.6
10,77190,2004,White Non-Hispanic,67.2
11,77460,2002,White Non-Hispanic,49.1
12,56020,2024,Black,59.6
13,56350,2022,Black,45.1
14,55210,2020,Black,62.6
15,50870,2018,Black,51.1
16,50420,2016,Black,59.4
17,45560,2014,Black,39.7
18,44020,2012,Black,66.2
19,44610,2010,Black,43.5
20,47970,2008,Black,64.7
21,47650,2006,Black,41.0
22,47500,2004,Black,60.0
23,47940,2002,Black,42.3
24,121700,2024,Asian,57.1
25,115900,2022,Asian,40.2
26,114200,2020,Asian,59.7
27,107200,2018,Asian,40.6
28,104000,2016,Asian,49.0
29,95630,2014,Asian,27.1
30,90680,2012,Asian,47.3
31,89230,2010,Asian,30.8
32,92020,2008,Asian,47.6
33,95750,2006,Asian,32.4
34,90760,2004,Asian,44.2
35,86910,2002,Asian,31.2
36,70950,2024,Hispanic (Any Race),50.6
37,66950,2022,Hispanic (Any Race),37.9
38,66480,2020,Hispanic (Any Race),53.7
39,63280,2018,Hispanic (Any Race),40.4
40,60870,2016,Hispanic (Any Race),47.6
41,54690,2014,Hispanic (Any Race),27.0
42,51530,2012,Hispanic (Any Race),48.0
43,52250,2010,Hispanic (Any Race),31.2
44,53150,2008,Hispanic (Any Race),49.9
45,56320,2006,Hispanic (Any Race),32.3
46,54090,2004,Hispanic (Any Race),47.2
47,54670,2002,Hispanic (Any Race),30.4
